id_cliente,par30,tasa_crecimiento,margen_utilidad,margen_cashflow,variabilidad_ingresos,antiguedad,concentracion_clientes,concentracion_proveedores,factor_perdida_clientes,taxcompliance_value,blackliststatus_value,blacklistedcounterparties_value,intercompanytransactions_value,customerconcentration_value,supplierconcentration_value,foreignexchangerisk_value,cashtransactionrisk_value,accountinginsolvency_value,canceledissuedinvoices_value,canceledreceivedinvoices_value,Kruskal_ley_benford,kolmogorov_ley_benford
10100,0,3.23,-0.69,-8.71,51.8,111,13.36,45.43,26.03,positive,,0,,5068,1335,0,0.02,,0.01,0.01,0.964783978,1
10101,0,4.37,21.34,44.21,154.98,111,100,78.98,25,positive,,0,0,9638,1819,0,0,0.91,0.09,0.02,0.627206926,0.989469354
10102,0,36.68,47.59,14.94,0,9,88.9,64.52,47.44,positive,,0,,3919,1571,0,0.08,,0.12,0.01,0.964783978,1
10103,0,3.36,2.77,-5.12,131.7,100,56.14,51.99,80.11,positive,,0,0,2776,1870,0,0.63,1.27,0.07,0.03,0.353836901,0.730111065
10104,0,6.7,-50.45,-13.69,57.67,56,20.25,42.05,65.62,positive,,0,0,679,934,0,0.26,,0.03,0.01,0.452679181,0.730111065
10105,0,12.33,79.53,73.78,55.96,43,56.76,88.21,43.82,negative,,0,0,1853,6077,0,0.1,3.04,0.06,0.05,0.825282898,0.989469354
10106,0,3.02,2.06,4.85,75.73,111,53.52,32.97,48.08,negative,,0,0,1346,705,0,0.04,1.02,0.04,0.03,0.964783978,0.730111065
10107,0,16.23,0.52,6,62.79,37,50.83,87.7,59.09,positive,,0,0,2257,6199,0,0.06,,0.1,0.02,0.89462581,0.989469354
10108,0,14.87,19.44,43.36,65.99,39,99.65,57.94,33.33,positive,,0,0,5656,829,0.29,0.17,0.96,0.28,0.02,0.75727775,0.989469354
10109,0,37.12,-3.85,-1.38,47.59,13,63.6,31.73,100,positive,,0,,2049,744,0,0.22,,0.05,0.03,0.89462581,0.989469354
10110,0,9.37,0.82,-20.98,118.98,40,89.47,37.87,20,negative,,0,0,4282,782,0,0.02,0.67,0.26,0.03,0.565791593,0.730111065
10111,0,3.72,-24.68,6.44,15.99,90,20.54,53.94,59.65,positive,,0,0,625,1445,0,0.09,1.4,0.04,0.03,0.89462581,1
10112,0,2.51,-14.12,-7.21,90.88,60,21.87,29.55,25.53,negative,,0,0,5262,876,0,0.16,,0.14,0.02,0.825282898,0.989469354
10113,0,11.45,-12.96,-18.61,48.22,41,33.32,93.95,83.71,positive,,0,0,805,5416,0,0.53,1.22,0.03,0.02,0.17109825,0.125874126
10114,0,1,28.25,34.6,47.26,111,28.55,21.42,22.97,positive,,0,0,1698,446,0,0.14,1.93,0.01,0.02,0.89462581,0.989469354
10115,0,3.92,-58.23,-201.51,97.44,103,59.68,46.05,37.17,positive,,0,0,3162,733,0,0.07,1.01,0.02,0.04,0.507800648,0.730111065
10116,0,5.94,17.34,77.06,397.89,96,10.37,54.97,46.15,negative,,0,0,1364,1073,0,0.31,0.97,0.13,0.02,0.89462581,0.989469354
10117,0,1.69,54.2,54.7,35.14,41,71.67,85.62,43.75,positive,,0,1,3271,2850,0,0,1.02,0.06,0.03,0.452912483,0.125874126
10118,0,5.26,-1.92,-85.36,67.79,41,33.31,33.52,53.85,negative,,0,0,1356,581,0.05,0.05,0.87,0.13,0.01,0.89462581,0.989469354
10119,0,0.56,37.42,-60.97,88.9,58,37.12,33.63,61.54,negative,,0,0,831,958,0.02,0.19,,0.09,0,0.825194132,0.989469354
10120,0,3.68,96.78,85.53,94.53,111,50.27,90.86,66.67,positive,,0,0,9655,3216,0.73,0.03,,0.07,0.01,0.89462581,0.989469354
10121,0,1.07,-16.23,-5.69,52.29,111,15.39,66.76,41.02,positive,,1,,656,3531,0,0.61,,0.02,0,0.122276677,0.351707116
10122,0,4.4,31.24,18.55,64.89,111,44.59,26.02,85.19,positive,,0,,1827,532,0,0.08,,0.09,0.02,0.964783978,1
10123,0,16.48,94.85,95.5,73.06,40,20.77,91.08,41.54,positive,,0,1,478,2832,0,0.3,,0.05,0.01,0.565992148,0.989469354
10124,0,48.11,10.29,-2.44,77.37,29,39.95,41.3,66.67,positive,,0,0,1088,900,0,0.11,0.66,0.05,0.02,0.507800648,0.989469354
10125,0,22.96,90.38,96.2,170.68,111,43.07,99.77,0,positive,,0,,9635,3209,0,0.2,,0.07,0.01,0.964783978,0.989469354
10126,0,3.13,22.93,10.14,134.24,111,30.15,51.15,40,positive,,0,0,846,1206,0,0.02,1.03,0.05,0.01,0.627206926,0.730111065
10127,0,-0.08,-14,-34.19,56.28,111,1.69,29.82,63.38,positive,,0,0.0122,1321,789,0.02,0.34,0.79,0.06,0.01,0.964783978,1
10128,0,1.25,-1.79,10.32,60.38,44,20.21,47.59,52.63,negative,,0,0,415,1129,0,0,1.22,0.04,0.01,0.89462581,0.730111065
10129,0,1.55,18.21,-3.15,51.52,111,41.96,37.8,56.25,negative,,0,0,1027,1008,0.05,0.11,0.79,0.02,0.02,0.75727775,0.989469354
10130,0,35.92,26.95,15.07,35.59,18,3.16,48.33,24.73,negative,,0,0,1182,1398,0,0.19,,0.09,0.01,0.964765804,1
